item1,item2,value1,value2,value3,value4,value5,value6,value7,value8
"111年 7月",南投縣,62,58,4,0,0,0,0,0
"111年 7月",彰化縣,62,60,2,0,0,0,0,0
"111年 7月",苗栗縣,62,62,0,0,0,0,0,0
"111年 7月",新竹縣,62,59,3,0,0,0,0,0
"111年 7月",宜蘭縣,62,55,7,0,0,0,0,0
"111年 7月",高雄市,248,238,10,0,0,0,0,0
"111年 7月",臺南市,123,118,5,0,0,0,0,0
"111年 7月",臺中市,155,149,6,0,0,0,0,0
"111年 7月",桃園市,124,117,7,0,0,0,0,0
"111年 7月",臺北市,155,110,44,1,0,0,0,0.65
"111年 7月",新北市,279,200,75,4,0,0,0,1.43
"111年 7月",總計,1859,1653,197,8,1,0,0,0.48
"111年 6月",連江縣,30,25,5,0,0,0,0,0
"111年 6月",金門縣,30,29,1,0,0,0,0,0
"111年 6月",嘉義市,30,29,1,0,0,0,0,0
"111年 6月",新竹市,30,30,0,0,0,0,0,0
"111年 6月",基隆市,30,28,2,0,0,0,0,0
"111年 6月",澎湖縣,30,28,2,0,0,0,0,0
"111年 6月",花蓮縣,30,30,0,0,0,0,0,0
"111年 6月",臺東縣,30,30,0,0,0,0,0,0
"111年 6月",屏東縣,90,86,4,0,0,0,0,0
"111年 6月",嘉義縣,60,58,2,0,0,0,0,0
"111年 6月",雲林縣,60,58,2,0,0,0,0,0
"111年 6月",南投縣,60,56,4,0,0,0,0,0
"111年 6月",彰化縣,60,58,2,0,0,0,0,0
"111年 6月",苗栗縣,52,52,0,0,0,0,0,0
"111年 6月",新竹縣,60,60,0,0,0,0,0,0
"111年 6月",宜蘭縣,60,59,1,0,0,0,0,0
"111年 6月",高雄市,240,232,7,0,1,0,0,0.42
"111年 6月",臺南市,120,119,1,0,0,0,0,0
"111年 6月",臺中市,150,147,3,0,0,0,0,0
"111年 6月",桃園市,120,111,9,0,0,0,0,0
"111年 6月",臺北市,150,105,45,0,0,0,0,0
"111年 6月",新北市,270,212,56,2,0,0,0,0.74
"111年 6月",總計,1792,1642,147,2,1,0,0,0.17
"111年 5月",連江縣,31,17,9,4,1,0,0,16.13
"111年 5月",金門縣,31,12,15,4,0,0,0,12.9
"111年 5月",嘉義市,31,15,16,0,0,0,0,0
"111年 5月",新竹市,31,28,3,0,0,0,0,0
"111年 5月",基隆市,31,25,6,0,0,0,0,0
"111年 5月",澎湖縣,31,16,13,2,0,0,0,6.45
"111年 5月",花蓮縣,31,28,3,0,0,0,0,0
"111年 5月",臺東縣,31,31,0,0,0,0,0,0
"111年 5月",屏東縣,93,62,20,9,2,0,0,11.83
"111年 5月",嘉義縣,62,32,30,0,0,0,0,0
"111年 5月",雲林縣,62,33,25,4,0,0,0,6.45
"111年 5月",南投縣,62,36,17,9,0,0,0,14.52
"111年 5月",彰化縣,62,35,27,0,0,0,0,0
"111年 5月",苗栗縣,62,53,9,0,0,0,0,0
"111年 5月",新竹縣,62,56,6,0,0,0,0,0
"111年 5月",宜蘭縣,62,57,5,0,0,0,0,0
"111年 5月",高雄市,248,120,110,17,1,0,0,7.26
"111年 5月",臺南市,124,64,53,7,0,0,0,5.65
"111年 5月",臺中市,155,115,39,1,0,0,0,0.65
"111年 5月",桃園市,124,104,20,0,0,0,0,0
"111年 5月",臺北市,155,118,37,0,0,0,0,0
"111年 5月",新北市,279,224,54,1,0,0,0,0.36
"111年 5月",總計,1860,1281,517,58,4,0,0,3.33
"111年 4月",連江縣,30,4,20,6,0,0,0,20
"111年 4月",金門縣,30,6,16,8,0,0,0,26.67
"111年 4月",嘉義市,30,7,17,6,0,0,0,20
"111年 4月",新竹市,30,12,18,0,0,0,0,0
"111年 4月",基隆市,30,16,14,0,0,0,0,0
"111年 4月",澎湖縣,30,11,16,3,0,0,0,10
"111年 4月",花蓮縣,30,24,5,1,0,0,0,3.33
"111年 4月",臺東縣,30,28,2,0,0,0,0,0
"111年 4月",屏東縣,90,44,22,24,0,0,0,26.67
"111年 4月",嘉義縣,60,11,47,2,0,0,0,3.33
"111年 4月",雲林縣,60,14,40,6,0,0,0,10
"111年 4月",南投縣,60,16,33,11,0,0,0,18.33
"111年 4月",彰化縣,60,18,40,2,0,0,0,3.33
"111年 4月",苗栗縣,60,34,24,2,0,0,0,3.33
"111年 4月",新竹縣,60,27,31,2,0,0,0,3.33
"111年 4月",宜蘭縣,60,49,11,0,0,0,0,0
"111年 4月",高雄市,240,68,126,44,2,0,0,19.17
"111年 4月",臺南市,120,38,78,4,0,0,0,3.33
"111年 4月",臺中市,150,64,81,5,0,0,0,3.33
"111年 4月",桃園市,120,48,68,4,0,0,0,3.33
"111年 4月",臺北市,150,56,92,2,0,0,0,1.33
"111年 4月",新北市,270,101,161,8,0,0,0,2.96
"111年 4月",總計,1800,696,962,140,2,0,0,7.89
"111年 3月",連江縣,31,3,24,2,2,0,0,12.9
"111年 3月",金門縣,31,6,17,7,1,0,0,25.81
"111年 3月",嘉義市,31,3,15,10,3,0,0,41.94
"111年 3月",新竹市,31,7,21,3,0,0,0,9.68
"111年 3月",基隆市,31,18,12,1,0,0,0,3.23
"111年 3月",澎湖縣,31,8,20,3,0,0,0,9.68
"111年 3月",花蓮縣,31,27,4,0,0,0,0,0
"111年 3月",臺東縣,31,28,3,0,0,0,0,0
"111年 3月",屏東縣,93,31,41,15,6,0,0,22.58
"111年 3月",嘉義縣,62,5,35,19,3,0,0,35.48
"111年 3月",雲林縣,62,8,34,16,4,0,0,32.26
"111年 3月",南投縣,62,4,35,22,1,0,0,37.1
"111年 3月",彰化縣,62,8,37,15,2,0,0,27.42
"111年 3月",苗栗縣,62,25,31,6,0,0,0,9.68
"111年 3月",新竹縣,62,21,39,2,0,0,0,3.23
"111年 3月",宜蘭縣,62,51,11,0,0,0,0,0
"111年 3月",高雄市,243,15,169,54,5,0,0,24.28
"111年 3月",臺南市,124,8,75,36,5,0,0,33.06
"111年 3月",臺中市,155,26,100,29,0,0,0,18.71
"111年 3月",桃園市,124,37,79,8,0,0,0,6.45
"111年 3月",臺北市,155,52,99,4,0,0,0,2.58
"111年 3月",新北市,279,113,160,6,0,0,0,2.15
"111年 3月",總計,1855,504,1061,258,32,0,0,15.63
"111年 2月",連江縣,28,14,10,4,0,0,0,14.29
"111年 2月",金門縣,28,15,12,1,0,0,0,3.57
"111年 2月",嘉義市,28,8,17,3,0,0,0,10.71
"111年 2月",新竹市,28,23,5,0,0,0,0,0
"111年 2月",基隆市,28,22,6,0,0,0,0,0
"111年 2月",澎湖縣,28,17,9,2,0,0,0,7.14
"111年 2月",花蓮縣,28,28,0,0,0,0,0,0
"111年 2月",臺東縣,28,28,0,0,0,0,0,0
"111年 2月",屏東縣,84,30,38,15,1,0,0,19.05
"111年 2月",嘉義縣,56,18,34,4,0,0,0,7.14
"111年 2月",雲林縣,56,28,25,3,0,0,0,5.36
"111年 2月",南投縣,56,24,32,0,0,0,0,0
"111年 2月",彰化縣,56,34,21,1,0,0,0,1.79
"111年 2月",苗栗縣,56,48,8,0,0,0,0,0
"111年 2月",新竹縣,56,48,7,1,0,0,0,1.79
"111年 2月",宜蘭縣,56,56,0,0,0,0,0,0
"111年 2月",高雄市,224,15,157,51,1,0,0,23.21
"111年 2月",臺南市,112,30,71,11,0,0,0,9.82
"111年 2月",臺中市,140,94,46,0,0,0,0,0
"111年 2月",桃園市,112,82,29,1,0,0,0,0.89
"111年 2月",臺北市,140,68,72,0,0,0,0,0
"111年 2月",新北市,252,170,82,0,0,0,0,0
"111年 2月",總計,1680,900,681,97,2,0,0,5.89
"111年 1月",連江縣,31,6,19,5,1,0,0,19.35
"111年 1月",金門縣,31,8,18,4,1,0,0,16.13
"111年 1月",嘉義市,31,1,22,7,1,0,0,25.81
"111年 1月",新竹市,31,18,13,0,0,0,0,0
"111年 1月",基隆市,31,23,8,0,0,0,0,0
"111年 1月",澎湖縣,31,15,16,0,0,0,0,0
"111年 1月",花蓮縣,31,30,1,0,0,0,0,0
"111年 1月",臺東縣,31,31,0,0,0,0,0,0
"111年 1月",屏東縣,93,30,33,29,1,0,0,32.26
"111年 1月",嘉義縣,62,9,48,5,0,0,0,8.06
"111年 1月",雲林縣,62,16,41,4,1,0,0,8.06
"111年 1月",南投縣,62,8,51,2,1,0,0,4.84
"111年 1月",彰化縣,62,28,34,0,0,0,0,0
"111年 1月",苗栗縣,62,43,19,0,0,0,0,0
"111年 1月",新竹縣,62,45,17,0,0,0,0,0
"111年 1月",宜蘭縣,62,55,7,0,0,0,0,0
"111年 1月",高雄市,248,6,159,79,4,0,0,33.47
"111年 1月",臺南市,124,7,95,22,0,0,0,17.74
"111年 1月",臺中市,155,75,80,0,0,0,0,0
"111年 1月",桃園市,124,77,47,0,0,0,0,0
"111年 1月",臺北市,155,75,80,0,0,0,0,0
"111年 1月",新北市,279,181,98,0,0,0,0,0
"111年 1月",總計,1860,787,906,157,10,0,0,8.98
111年,連江縣,365,168,154,35,8,0,0,11.78
111年,金門縣,365,162,154,39,7,3,0,13.42
111年,嘉義市,365,166,153,42,4,0,0,12.6
111年,新竹市,365,268,90,7,0,0,0,1.92
111年,基隆市,365,279,79,7,0,0,0,1.92
111年,澎湖縣,365,238,108,16,3,0,0,5.21
111年,花蓮縣,365,343,20,2,0,0,0,0.55
111年,臺東縣,365,357,8,0,0,0,0,0
111年,屏東縣,1095,592,335,152,16,0,0,15.34
111年,嘉義縣,730,330,342,52,6,0,0,7.95
111年,雲林縣,730,352,308,63,7,0,0,9.59
111年,南投縣,729,350,292,84,3,0,0,11.93
111年,彰化縣,730,411,279,36,4,0,0,5.48
111年,苗栗縣,722,531,170,20,1,0,0,2.91
111年,新竹縣,730,551,157,20,2,0,0,3.01
111年,宜蘭縣,730,668,57,5,0,0,0,0.68
111年,高雄市,2915,1066,1457,368,24,0,0,13.45
111年,臺南市,1457,637,677,133,10,0,0,9.81
111年,臺中市,1825,1162,590,72,1,0,0,4
111年,桃園市,1460,1031,386,42,1,0,0,2.95
111年,臺北市,1822,1136,660,25,1,0,0,1.43
111年,新北市,3285,2245,964,69,7,0,0,2.31
111年,總計,21880,13043,7440,1289,105,3,0,6.38
"110年 12月",連江縣,31,3,24,3,1,0,0,12.9
"110年 12月",金門縣,31,2,24,5,0,0,0,16.13
"110年 12月",嘉義市,31,2,25,4,0,0,0,12.9
"110年 12月",新竹市,31,20,11,0,0,0,0,0
"110年 12月",基隆市,31,22,9,0,0,0,0,0
"110年 12月",澎湖縣,31,15,16,0,0,0,0,0
"110年 12月",花蓮縣,31,28,3,0,0,0,0,0
"110年 12月",臺東縣,31,30,1,0,0,0,0,0
"110年 12月",屏東縣,93,28,39,26,0,0,0,27.96
"110年 12月",嘉義縣,62,14,44,4,0,0,0,6.45
"110年 12月",雲林縣,62,8,48,6,0,0,0,9.68
"110年 12月",南投縣,62,9,49,4,0,0,0,6.45
"110年 12月",彰化縣,62,29,29,4,0,0,0,6.45
"110年 12月",苗栗縣,62,42,20,0,0,0,0,0
"110年 12月",新竹縣,62,45,17,0,0,0,0,0
"110年 12月",宜蘭縣,62,57,5,0,0,0,0,0
"110年 12月",高雄市,248,4,169,73,2,0,0,30.24
"110年 12月",臺南市,124,12,97,15,0,0,0,12.1
"110年 12月",臺中市,155,71,83,1,0,0,0,0.65
"110年 12月",桃園市,124,73,51,0,0,0,0,0
"110年 12月",臺北市,153,67,86,0,0,0,0,0
"110年 12月",新北市,279,157,122,0,0,0,0,0
"110年 12月",總計,1858,738,972,145,3,0,0,7.97
"110年 11月",連江縣,30,10,18,2,0,0,0,6.67
"110年 11月",金門縣,30,6,23,1,0,0,0,3.33
"110年 11月",嘉義市,30,2,25,3,0,0,0,10
"110年 11月",新竹市,30,17,13,0,0,0,0,0
"110年 11月",基隆市,30,24,6,0,0,0,0,0
"110年 11月",澎湖縣,30,12,17,1,0,0,0,3.33
"110年 11月",花蓮縣,30,27,3,0,0,0,0,0
"110年 11月",臺東縣,30,30,0,0,0,0,0,0
"110年 11月",屏東縣,90,28,42,18,2,0,0,22.22
"110年 11月",嘉義縣,60,12,46,2,0,0,0,3.33
"110年 11月",雲林縣,60,7,48,5,0,0,0,8.33
"110年 11月",南投縣,60,9,44,6,1,0,0,11.67
"110年 11月",彰化縣,60,26,30,4,0,0,0,6.67
"110年 11月",苗栗縣,60,41,15,4,0,0,0,6.67
"110年 11月",新竹縣,60,45,15,0,0,0,0,0
"110年 11月",宜蘭縣,60,55,5,0,0,0,0,0
"110年 11月",高雄市,235,4,200,29,2,0,0,13.19
"110年 11月",臺南市,120,13,98,9,0,0,0,7.5
"110年 11月",臺中市,150,66,76,8,0,0,0,5.33
"110年 11月",桃園市,120,80,40,0,0,0,0,0
"110年 11月",臺北市,150,78,72,0,0,0,0,0
"110年 11月",新北市,270,178,92,0,0,0,0,0
"110年 11月",總計,1795,770,928,92,5,0,0,5.4
"110年 10月",連江縣,31,19,8,4,0,0,0,12.9
"110年 10月",金門縣,31,15,13,2,1,0,0,9.68
"110年 10月",嘉義市,31,8,12,11,0,0,0,35.48
"110年 10月",新竹市,31,22,5,4,0,0,0,12.9
"110年 10月",基隆市,31,29,2,0,0,0,0,0
"110年 10月",澎湖縣,31,12,18,1,0,0,0,3.23
"110年 10月",花蓮縣,31,31,0,0,0,0,0,0
"110年 10月",臺東縣,31,30,1,0,0,0,0,0
"110年 10月",屏東縣,93,42,30,20,1,0,0,22.58
"110年 10月",嘉義縣,62,18,38,6,0,0,0,9.68
"110年 10月",雲林縣,62,12,34,16,0,0,0,25.81
"110年 10月",南投縣,62,13,25,21,3,0,0,38.71
"110年 10月",彰化縣,62,22,27,11,2,0,0,20.97
"110年 10月",苗栗縣,62,31,14,13,4,0,0,27.42
"110年 10月",新竹縣,62,48,7,7,0,0,0,11.29
"110年 10月",宜蘭縣,62,62,0,0,0,0,0,0
"110年 10月",高雄市,248,42,148,52,6,0,0,23.39
"110年 10月",臺南市,124,39,65,20,0,0,0,16.13
"110年 10月",臺中市,155,59,47,37,12,0,0,31.61
"110年 10月",桃園市,124,115,9,0,0,0,0,0
"110年 10月",臺北市,155,120,35,0,0,0,0,0
"110年 10月",新北市,279,236,43,0,0,0,0,0
"110年 10月",總計,1860,1025,581,225,29,0,0,13.66
"110年 9月",連江縣,30,13,17,0,0,0,0,0
"110年 9月",金門縣,30,15,11,4,0,0,0,13.33
"110年 9月",嘉義市,30,16,12,2,0,0,0,6.67
"110年 9月",新竹市,30,19,10,1,0,0,0,3.33
"110年 9月",基隆市,30,27,3,0,0,0,0,0
"110年 9月",澎湖縣,30,23,6,1,0,0,0,3.33
"110年 9月",花蓮縣,30,30,0,0,0,0,0,0
"110年 9月",臺東縣,30,30,0,0,0,0,0,0
"110年 9月",屏東縣,90,53,31,6,0,0,0,6.67
"110年 9月",嘉義縣,60,27,31,2,0,0,0,3.33
"110年 9月",雲林縣,60,27,29,4,0,0,0,6.67
"110年 9月",南投縣,60,28,20,10,2,0,0,20
"110年 9月",彰化縣,60,29,25,5,1,0,0,10
"110年 9月",苗栗縣,60,29,27,3,1,0,0,6.67
"110年 9月",新竹縣,60,36,20,4,0,0,0,6.67
"110年 9月",宜蘭縣,60,59,1,0,0,0,0,0
"110年 9月",高雄市,240,107,125,8,0,0,0,3.33
"110年 9月",臺南市,120,66,48,6,0,0,0,5
"110年 9月",臺中市,150,70,67,8,5,0,0,8.67
"110年 9月",桃園市,120,82,37,1,0,0,0,0.83
"110年 9月",臺北市,150,119,28,3,0,0,0,2
"110年 9月",新北市,270,210,51,9,0,0,0,3.33
"110年 9月",總計,1800,1115,599,77,9,0,0,4.78
"110年 8月",連江縣,31,25,6,0,0,0,0,0
"110年 8月",金門縣,31,25,5,1,0,0,0,3.23
"110年 8月",嘉義市,31,30,1,0,0,0,0,0
"110年 8月",新竹市,31,26,5,0,0,0,0,0
"110年 8月",基隆市,31,27,4,0,0,0,0,0
"110年 8月",澎湖縣,31,29,2,0,0,0,0,0
"110年 8月",花蓮縣,31,31,0,0,0,0,0,0
"110年 8月",臺東縣,31,31,0,0,0,0,0,0
"110年 8月",屏東縣,93,87,3,3,0,0,0,3.23
"110年 8月",嘉義縣,62,53,9,0,0,0,0,0
"110年 8月",雲林縣,62,53,9,0,0,0,0,0
"110年 8月",南投縣,62,55,7,0,0,0,0,0
"110年 8月",彰化縣,62,54,8,0,0,0,0,0
"110年 8月",苗栗縣,62,52,10,0,0,0,0,0
"110年 8月",新竹縣,62,53,8,1,0,0,0,1.61
"110年 8月",宜蘭縣,62,61,1,0,0,0,0,0
"110年 8月",高雄市,248,191,52,4,1,0,0,2.02
"110年 8月",臺南市,124,112,12,0,0,0,0,0
"110年 8月",臺中市,155,128,26,1,0,0,0,0.65
"110年 8月",桃園市,124,97,26,1,0,0,0,0.81
"110年 8月",臺北市,155,96,59,0,0,0,0,0
"110年 8月",新北市,279,194,85,0,0,0,0,0
"110年 8月",總計,1860,1510,338,11,1,0,0,0.65
"110年 7月",連江縣,31,27,2,2,0,0,0,6.45
"110年 7月",金門縣,31,26,2,3,0,0,0,9.68
"110年 7月",嘉義市,31,30,1,0,0,0,0,0
"110年 7月",新竹市,31,25,6,0,0,0,0,0
"110年 7月",基隆市,31,25,6,0,0,0,0,0
"110年 7月",澎湖縣,31,30,1,0,0,0,0,0
"110年 7月",花蓮縣,31,31,0,0,0,0,0,0
"110年 7月",臺東縣,31,31,0,0,0,0,0,0
"110年 7月",屏東縣,93,90,3,0,0,0,0,0
"110年 7月",嘉義縣,62,58,4,0,0,0,0,0
"110年 7月",雲林縣,62,52,10,0,0,0,0,0
"110年 7月",南投縣,62,53,7,2,0,0,0,3.23
"110年 7月",彰化縣,62,53,8,1,0,0,0,1.61
"110年 7月",苗栗縣,62,59,3,0,0,0,0,0
"110年 7月",新竹縣,62,54,7,1,0,0,0,1.61
"110年 7月",宜蘭縣,62,62,0,0,0,0,0,0
"110年 7月",高雄市,248,222,26,0,0,0,0,0
"110年 7月",臺南市,124,124,0,0,0,0,0,0
"110年 7月",臺中市,155,131,21,3,0,0,0,1.94
"110年 7月",桃園市,124,105,19,0,0,0,0,0
"110年 7月",臺北市,155,121,27,5,2,0,0,4.52
"110年 7月",新北市,279,219,56,4,0,0,0,1.43
"110年 7月",總計,1860,1628,209,21,2,0,0,1.24
"110年 6月",連江縣,30,10,18,2,0,0,0,6.67
"110年 6月",金門縣,30,24,6,0,0,0,0,0
"110年 6月",嘉義市,30,30,0,0,0,0,0,0
"110年 6月",新竹市,30,25,5,0,0,0,0,0
"110年 6月",基隆市,30,27,3,0,0,0,0,0
"110年 6月",澎湖縣,30,28,2,0,0,0,0,0
"110年 6月",花蓮縣,30,30,0,0,0,0,0,0
"110年 6月",臺東縣,30,30,0,0,0,0,0,0
"110年 6月",屏東縣,90,86,3,1,0,0,0,1.11
"110年 6月",嘉義縣,60,60,0,0,0,0,0,0
"110年 6月",雲林縣,60,57,3,0,0,0,0,0
"110年 6月",南投縣,60,54,6,0,0,0,0,0
"110年 6月",彰化縣,60,58,2,0,0,0,0,0
"110年 6月",苗栗縣,60,60,0,0,0,0,0,0
"110年 6月",新竹縣,60,53,7,0,0,0,0,0
"110年 6月",宜蘭縣,60,58,2,0,0,0,0,0
"110年 6月",高雄市,240,223,17,0,0,0,0,0
"110年 6月",臺南市,120,108,12,0,0,0,0,0
"110年 6月",臺中市,150,145,5,0,0,0,0,0
"110年 6月",桃園市,120,108,12,0,0,0,0,0
"110年 6月",臺北市,150,135,15,0,0,0,0,0
"110年 6月",新北市,270,230,38,2,0,0,0,0.74
"110年 6月",總計,1800,1639,156,5,0,0,0,0.28
"110年 5月",連江縣,31,8,16,4,3,0,0,22.58
"110年 5月",金門縣,31,20,7,4,0,0,0,12.9
"110年 5月",嘉義市,31,24,7,0,0,0,0,0
"110年 5月",新竹市,31,23,6,2,0,0,0,6.45
"110年 5月",基隆市,31,22,8,1,0,0,0,3.23
"110年 5月",澎湖縣,31,24,7,0,0,0,0,0
"110年 5月",花蓮縣,31,29,2,0,0,0,0,0
"110年 5月",臺東縣,31,30,1,0,0,0,0,0
"110年 5月",屏東縣,93,77,14,1,1,0,0,2.15
"110年 5月",嘉義縣,62,48,11,3,0,0,0,4.84
"110年 5月",雲林縣,62,47,11,3,1,0,0,6.45
"110年 5月",南投縣,62,43,15,3,1,0,0,6.45
"110年 5月",彰化縣,62,49,12,1,0,0,0,1.61
"110年 5月",苗栗縣,62,51,11,0,0,0,0,0
"110年 5月",新竹縣,62,43,14,5,0,0,0,8.06
"110年 5月",宜蘭縣,62,58,4,0,0,0,0,0
"110年 5月",高雄市,248,188,45,15,0,0,0,6.05
"110年 5月",臺南市,124,102,17,5,0,0,0,4.03
"110年 5月",臺中市,155,108,42,5,0,0,0,3.23
"110年 5月",桃園市,124,78,38,8,0,0,0,6.45
"110年 5月",臺北市,155,63,87,5,0,0,0,3.23
"110年 5月",新北市,279,134,126,17,2,0,0,6.81
"110年 5月",總計,1860,1269,501,82,8,0,0,4.84
"110年 4月",連江縣,30,0,21,7,2,0,0,30
"110年 4月",金門縣,30,2,20,7,1,0,0,26.67
"110年 4月",嘉義市,30,0,27,3,0,0,0,10
"110年 4月",新竹市,30,9,16,4,1,0,0,16.67
"110年 4月",基隆市,30,16,13,1,0,0,0,3.33
"110年 4月",澎湖縣,30,9,17,4,0,0,0,13.33
"110年 4月",花蓮縣,30,18,12,0,0,0,0,0
"110年 4月",臺東縣,30,21,8,1,0,0,0,3.33
"110年 4月",屏東縣,90,21,50,18,1,0,0,21.11
"110年 4月",嘉義縣,60,3,50,7,0,0,0,11.67
"110年 4月",雲林縣,60,1,45,13,1,0,0,23.33
"110年 4月",南投縣,60,1,41,17,1,0,0,30
"110年 4月",彰化縣,60,3,54,2,1,0,0,5
"110年 4月",苗栗縣,60,17,43,0,0,0,0,0
"110年 4月",新竹縣,60,16,34,6,4,0,0,16.67
"110年 4月",宜蘭縣,60,43,17,0,0,0,0,0
"110年 4月",高雄市,240,11,146,82,1,0,0,34.58
"110年 4月",臺南市,120,4,86,30,0,0,0,25
"110年 4月",臺中市,150,17,124,7,2,0,0,6
"110年 4月",桃園市,120,47,60,12,1,0,0,10.83
"110年 4月",臺北市,150,62,74,12,2,0,0,9.33
"110年 4月",新北市,270,107,135,22,6,0,0,10.37
"110年 4月",總計,1800,428,1093,255,24,0,0,15.5
"110年 3月",連江縣,31,3,26,2,0,0,0,6.45
"110年 3月",金門縣,31,1,25,5,0,0,0,16.13
"110年 3月",嘉義市,31,0,12,15,4,0,0,61.29
"110年 3月",新竹市,31,4,25,2,0,0,0,6.45
"110年 3月",基隆市,31,12,19,0,0,0,0,0
"110年 3月",澎湖縣,31,7,22,2,0,0,0,6.45
"110年 3月",花蓮縣,31,26,5,0,0,0,0,0
"110年 3月",臺東縣,31,27,4,0,0,0,0,0
"110年 3月",屏東縣,91,20,49,21,1,0,0,24.18
"110年 3月",嘉義縣,62,5,31,26,0,0,0,41.94
"110年 3月",雲林縣,62,1,31,26,4,0,0,48.39
"110年 3月",南投縣,62,0,42,19,1,0,0,32.26
"110年 3月",彰化縣,62,2,41,17,2,0,0,30.65
"110年 3月",苗栗縣,62,11,47,4,0,0,0,6.45
"110年 3月",新竹縣,62,11,45,6,0,0,0,9.68
"110年 3月",宜蘭縣,62,43,19,0,0,0,0,0
"110年 3月",高雄市,248,6,117,120,5,0,0,50.4
"110年 3月",臺南市,124,5,63,53,3,0,0,45.16
"110年 3月",臺中市,151,12,120,19,0,0,0,12.58
"110年 3月",桃園市,124,16,92,16,0,0,0,12.9
"110年 3月",臺北市,155,20,127,8,0,0,0,5.16
"110年 3月",新北市,279,57,208,14,0,0,0,5.02
"110年 3月",總計,1854,289,1170,375,20,0,0,21.31
"110年 2月",連江縣,28,6,14,8,0,0,0,28.57
"110年 2月",金門縣,28,3,16,8,1,0,0,32.14
"110年 2月",嘉義市,28,0,11,14,3,0,0,60.71
"110年 2月",新竹市,28,7,15,5,1,0,0,21.43
"110年 2月",基隆市,28,13,15,0,0,0,0,0
"110年 2月",澎湖縣,28,4,21,3,0,0,0,10.71
"110年 2月",花蓮縣,28,20,8,0,0,0,0,0
"110年 2月",臺東縣,28,24,4,0,0,0,0,0
"110年 2月",屏東縣,84,19,43,20,2,0,0,26.19
"110年 2月",嘉義縣,56,3,25,20,8,0,0,50
"110年 2月",雲林縣,56,2,24,23,7,0,0,53.57
"110年 2月",南投縣,56,1,33,19,3,0,0,39.29
"110年 2月",彰化縣,56,3,31,16,6,0,0,39.29
"110年 2月",苗栗縣,56,10,39,7,0,0,0,12.5
"110年 2月",新竹縣,56,14,32,8,2,0,0,17.86
"110年 2月",宜蘭縣,56,39,17,0,0,0,0,0
"110年 2月",高雄市,224,3,111,102,8,0,0,49.11
"110年 2月",臺南市,112,2,50,52,8,0,0,53.57
"110年 2月",臺中市,140,14,87,32,7,0,0,27.86
"110年 2月",桃園市,112,27,64,18,3,0,0,18.75
"110年 2月",臺北市,140,40,86,13,1,0,0,10
"110年 2月",新北市,252,87,141,23,1,0,0,9.52
"110年 2月",總計,1680,341,887,391,61,0,0,26.9
"110年 1月",連江縣,31,1,25,5,0,0,0,16.13
"110年 1月",金門縣,31,0,23,8,0,0,0,25.81
"110年 1月",嘉義市,31,2,13,12,4,0,0,51.61
"110年 1月",新竹市,31,12,19,0,0,0,0,0
"110年 1月",基隆市,31,21,10,0,0,0,0,0
"110年 1月",澎湖縣,31,8,22,1,0,0,0,3.23
"110年 1月",花蓮縣,31,26,5,0,0,0,0,0
"110年 1月",臺東縣,31,27,4,0,0,0,0,0
"110年 1月",屏東縣,93,26,38,22,7,0,0,31.18
"110年 1月",嘉義縣,62,8,37,17,0,0,0,27.42
"110年 1月",雲林縣,62,6,34,18,4,0,0,35.48
"110年 1月",南投縣,62,5,42,14,1,0,0,24.19
"110年 1月",彰化縣,62,13,37,11,1,0,0,19.35
"110年 1月",苗栗縣,62,28,34,0,0,0,0,0
"110年 1月",新竹縣,62,31,31,0,0,0,0,0
"110年 1月",宜蘭縣,62,45,17,0,0,0,0,0
"110年 1月",高雄市,248,4,137,78,29,0,0,43.15
"110年 1月",臺南市,124,6,70,34,14,0,0,38.71
"110年 1月",臺中市,155,48,87,20,0,0,0,12.9
"110年 1月",桃園市,124,59,65,0,0,0,0,0
"110年 1月",臺北市,155,66,89,0,0,0,0,0
"110年 1月",新北市,279,135,143,1,0,0,0,0.36
"110年 1月",總計,1860,577,982,241,60,0,0,16.18
110年,連江縣,365,125,195,39,6,0,0,12.33
110年,金門縣,365,139,175,48,3,0,0,13.97
110年,嘉義市,365,144,146,64,11,0,0,20.55
110年,新竹市,365,209,136,18,2,0,0,5.48
110年,基隆市,365,265,98,2,0,0,0,0.55
110年,澎湖縣,365,201,151,13,0,0,0,3.56
110年,花蓮縣,365,327,38,0,0,0,0,0
110年,臺東縣,365,341,23,1,0,0,0,0.27
110年,屏東縣,1093,577,345,156,15,0,0,15.65
110年,嘉義縣,730,309,326,87,8,0,0,13.01
110年,雲林縣,730,273,326,114,17,0,0,17.95
110年,南投縣,730,271,331,115,13,0,0,17.53
110年,彰化縣,730,341,304,72,13,0,0,11.64
110年,苗栗縣,730,431,263,31,5,0,0,4.93
110年,新竹縣,730,449,237,38,6,0,0,6.03
110年,宜蘭縣,730,642,88,0,0,0,0,0
110年,高雄市,2915,1005,1293,563,54,0,0,21.17
110年,臺南市,1460,593,618,224,25,0,0,17.05
110年,臺中市,1821,869,785,141,26,0,0,9.17
110年,桃園市,1460,887,513,56,4,0,0,4.11
110年,臺北市,1823,987,785,46,5,0,0,2.8
110年,新北市,3285,1944,1240,92,9,0,0,3.07
110年,總計,21887,11329,8416,1920,222,0,0,9.79
"109年 12月",連江縣,31,4,22,5,0,0,0,16.13
